Sec  SL  Slot  Cable  T0(BkgIntersect) T0err T0N p0  p1  p2  p3  p4(Bkg) xSigmHalf Err(p0  p1  p2  p3  p4)
2 2 4 2 634.688 69292.502 634.688 8.031 -0.0087 48.439 -0.0722 9.272 671.175 2.008 36.727 1797.052 4.840 0.141
2 2 4 3 1097.029 3182503.906 1097.028 8.332 -0.0078 54.563 -0.0470 10.489 1160.621 2.042 618.417 1.414 618.417 0.264
2 2 4 4 580.375 12845.107 580.375 8.182 -0.0093 49.220 -0.0803 16.907 612.748 1.556 8.308 359.528 1.008 0.144
2 2 4 5 668.448 140.048 668.448 8.679 -0.0082 47.080 -0.0665 17.981 708.365 2.055 0.064 25.631 0.064 0.346
2 2 4 6 -664.724 865.434  NaN 8.643 -0.0037 89.865 0.1323 17.028 679.040 1.305 1.414 1.414 1.414 0.337
2 2 5 1 535.244 5618.091 535.243 7.842 -0.0095 49.616 -0.0879 14.748 564.271 1.570 4.333 231.265 0.625 0.162
2 2 5 2 6911.354 10756081.442 -Infinity 8.543 -0.0076 62.399 -0.0145 15.236 4303.477 2.062 1.414 1.414 1.414 0.319
2 2 5 3 586.208 10661.265 586.207 8.000 -0.0089 47.555 -0.0767 14.409 620.177 1.953 6.412 260.404 0.722 0.116
2 2 5 4 626.377 55844.777 626.376 8.158 -0.0093 48.111 -0.0725 17.604 663.487 1.418 28.935 1264.801 3.384 0.197
2 2 5 5 625.624 73935.799 625.623 8.013 -0.0094 48.284 -0.0729 16.814 662.593 1.640 38.543 1797.246 5.109 0.191
2 2 5 6 742.483 24719.457 742.483 8.395 -0.0085 44.871 -0.0566 17.500 793.145 2.142 7.488 2754.207 7.488 0.342
2 2 6 1 640.981 367.270 640.981 8.487 -0.0084 46.448 -0.0683 17.539 679.715 1.294 0.177 67.448 0.177 0.342
2 2 6 2 629.575 368.601 629.575 8.571 -0.0081 47.269 -0.0710 16.719 666.075 2.062 0.196 74.964 0.196 0.334
2 2 6 3 608.471 11050.750 608.470 8.305 -0.0086 45.084 -0.0697 16.521 646.543 2.033 5.538 213.233 0.583 0.128
2 2 6 4 557.077 7668.976 557.077 7.873 -0.0091 46.939 -0.0796 14.927 589.666 1.813 4.967 244.296 0.668 0.142
2 2 6 5 602.516 42326.188 602.515 7.858 -0.0093 47.730 -0.0748 14.956 638.098 1.776 23.592 931.508 2.543 0.210
2 2 6 6 609.056 44313.643 609.056 7.772 -0.0094 47.835 -0.0741 13.936 645.167 1.629 24.092 1251.128 3.537 0.162
2 2 7 1 561.280 8902.327 561.279 7.720 -0.0095 48.083 -0.0810 9.944 593.586 1.371 5.828 282.794 0.775 0.112
2 2 7 2 514.445 46336.581 514.440 8.876 -0.0258 44.763 -0.0743 6.524 602.628 1.458 5.160 1906.886 5.160 0.209
2 2 7 3 550.636 7340.618 550.636 7.960 -0.0089 49.243 -0.0848 5.592 580.470 1.572 5.406 253.586 0.708 0.085
2 2 7 4 628.503 60601.359 628.502 7.921 -0.0090 47.950 -0.0721 7.522 665.474 1.938 31.556 1356.096 3.658 0.144
2 2 7 5 643.827 42388.914 643.827 8.163 -0.0083 46.991 -0.0689 4.922 682.076 1.982 20.836 957.067 2.683 0.091
2 2 7 6 569.787 12653.328 569.787 7.794 -0.0094 50.708 -0.0845 3.487 600.194 1.896 8.983 430.505 1.160 0.066
2 3 1 1 875.226 34548.999 875.225 7.474 -0.0102 54.818 -0.0591 1.879 926.969 1.596 9.850 921.776 1.424 0.058
2 3 1 2 914.844 20366.052 914.843 6.555 -0.0124 48.324 -0.0483 2.365 1000.098 2.065 2.363 1575.325 2.363 0.134
2 3 1 3 838.130 45363.471 838.129 6.777 -0.0123 56.680 -0.0637 2.846 889.362 2.347 13.241 1990.648 3.107 0.087
2 3 1 4 830.485 21218.639 830.484 6.926 -0.0117 58.273 -0.0665 3.114 876.881 1.291 7.300 810.934 1.239 0.072
2 3 1 5 875.620 84791.261 875.619 6.951 -0.0123 52.269 -0.0556 3.816 940.204 2.148 16.455 2141.518 3.378 0.115
2 3 1 6 970.289 109384.610 970.287 6.563 -0.0123 54.029 -0.0518 3.822 1043.979 1.557 16.562 1.414 16.255 0.164
2 3 2 1 49.184 10.352 49.179 6.522 -0.0170 8.975 -0.0488 2.442 183.937 0.044 0.001 3.087 0.017 0.190
2 3 2 2 930.772 85745.913 930.771 7.713 -0.0106 50.547 -0.0506 3.738 998.790 1.805 15.070 1114.791 1.704 0.111
2 3 2 3 348.654 0.309 348.653 8.999 -0.0174 42.139 -0.1125 2.801 374.398 0.157 0.000 6.407 0.017 0.191
2 3 2 4 797.011 17245.316 797.009 7.751 -0.0157 53.920 -0.0626 3.722 860.884 1.675 3.445 392.534 0.587 0.071
2 3 2 5 454.673 105.135 454.666 6.533 -0.0162 3.928 -0.0257 2.653 152.837 0.043 0.001 2.368 0.014 0.283
2 3 2 6 742.392 1385.665 742.389 8.034 -0.0205 53.739 -0.0651 3.809 825.675 1.661 0.170 6.367 0.010 0.014
2 3 3 1 1062.234 19132.906 1062.233 8.317 -0.0094 46.347 -0.0401 3.476 1156.447 1.721 1.824 1186.362 1.824 0.164
2 3 3 2 107.847 0.082 107.847 6.500 -0.0163 20.452 -0.1666 2.543 122.771 0.012 0.000 26.376 0.114 1.872
2 3 3 3 188.948 0.088 188.946 7.490 -0.0191 18.050 -0.0735 1.918 245.423 0.245 0.000 0.313 0.000 0.007
2 3 3 4 770.061 3015.551 770.057 8.994 -0.0187 50.248 -0.0579 3.835 867.606 1.835 0.273 184.737 0.274 0.171
2 3 3 5 324.584 1.402 324.583 8.903 -0.0189 41.390 -0.1185 2.515 349.399 1.910 0.002 7.489 0.022 0.184
2 3 3 6 847.187 3558.835 847.185 6.559 -0.0127 49.253 -0.0536 3.302 918.045 1.771 0.585 22.199 0.032 0.027
2 3 4 1 759.113 626715.324 759.087 6.628 -0.0237 55.780 -0.0627 3.458 889.204 1.996 32.413 4377.452 4.134 0.159
2 3 4 2 943.638 44095.769 943.637 7.943 -0.0100 52.495 -0.0522 3.300 1005.856 1.297 9.070 702.043 1.087 0.061
2 3 4 3 -1431.279 8.853 1556.828 8.337 -0.0150 1.822 0.0012 2.530 1495.233 0.529 0.002 0.389 0.002 0.289
2 3 4 4 904.775 24719.989 904.774 7.665 -0.0106 49.105 -0.0505 3.868 973.299 1.815 4.298 403.394 0.616 0.072
2 3 4 5 974.792 118511.623 974.791 7.896 -0.0102 50.007 -0.0477 3.745 1047.789 1.582 18.249 1650.695 2.478 0.095
2 3 4 6 896.941 76071.678 896.941 7.094 -0.0112 52.783 -0.0551 3.558 958.203 2.121 16.174 1737.354 2.777 0.080
2 3 5 1 950.899 124381.056 950.898 7.469 -0.0111 48.344 -0.0469 3.532 1031.754 1.939 15.895 1516.055 2.376 0.076
2 3 5 2 853.181 103792.494 853.180 6.506 -0.0127 57.026 -0.0629 3.526 906.361 2.490 28.372 9064.271 14.497 0.123
2 3 5 3 871.672 55130.196 871.671 7.067 -0.0117 49.589 -0.0528 3.521 939.845 1.358 9.708 1135.234 1.788 0.090
